Blend Number,Original Blend Name,Blend Type,Replacement Level,Group_names,PC,GPP,SC,CC,FA,VA,GBA,FBC,QUARTZ,PLC,Cumulative Heat (J/g)
0,100% PC,Other,0,X,100,0,0,0,0,0,0,0,0,0,323.16
1,80% PC + 20% GPP,Binary,20,Group_1_PC_GP,80,20,0,0,0,0,0,0,0,0,297.77
2,70% PC + 30% GPP,Binary,30,Group_1_PC_GP,70,30,0,0,0,0,0,0,0,0,311.4
3,60% PC + 40% GPP,Binary,40,Group_1_PC_GP,60,40,0,0,0,0,0,0,0,0,265.35
4,50% PC + 50% GPP,Binary,50,Group_1_PC_GP,50,50,0,0,0,0,0,0,0,0,225.05
5,40% PC + 60% GPP,Binary,60,Group_1_PC_GP,40,60,0,0,0,0,0,0,0,0,216.62
6,30% PC + 70% GPP,Binary,70,Group_1_PC_GP,30,70,0,0,0,0,0,0,0,0,160.64
7,40% GPP + 60% SC,Binary,0,X,0,40,60,0,0,0,0,0,0,0,11.24
8,10% PC + 40% GPP + 50% SC,Ternary,90,Group_11_3_PC_10,10,40,50,0,0,0,0,0,0,0,115.7
9,20% PC + 40% GPP + 40% SC,Ternary,80,Group_12_3_PC_20,20,40,40,0,0,0,0,0,0,0,149.98
10,30% PC + 40% GPP + 30% SC,Ternary,70,Group_5_3_PC_30,30,40,30,0,0,0,0,0,0,0,180.43
11,40% PC + 40% GPP + 20% SC,Ternary,60,Group_6_3_PC_40,40,40,20,0,0,0,0,0,0,0,210.39
12,50% PC + 40% GPP + 10% SC,Ternary,50,Group_7_3_PC_50,50,40,10,0,0,0,0,0,0,0,231.67
13,30% PC + 60% GPP + 10% SC,Ternary,70,Group_5_3_PC_30,30,60,10,0,0,0,0,0,0,0,183.33
14,30% PC + 50% GPP + 20% SC,Ternary,70,Group_5_3_PC_30,30,50,20,0,0,0,0,0,0,0,202.64
15,30% PC + 30% GPP + 40% SC,Ternary,70,Group_5_3_PC_30,30,30,40,0,0,0,0,0,0,0,217.65
16,30% PC + 20% GPP + 50% SC,Ternary,70,Group_5_3_PC_30,30,20,50,0,0,0,0,0,0,0,194.64
17,30% PC + 10% GPP + 60% SC,Ternary,70,Group_5_3_PC_30,30,10,60,0,0,0,0,0,0,0,222.55
18,30% PC + 30% GPP + 40% CC,Ternary,70,Group_5_3_PC_30,30,30,0,40,0,0,0,0,0,0,179.39
19,30% PC + 50% GPP + 20% CC,Ternary,70,Group_5_3_PC_30,30,50,0,20,0,0,0,0,0,0,184.9
20,30% PC + 40% GPP + 30% CC,Ternary,70,Group_5_3_PC_30,30,40,0,30,0,0,0,0,0,0,188.98
21,30% PC + 60% GPP + 10% CC,Ternary,70,Group_5_3_PC_30,30,60,0,10,0,0,0,0,0,0,168.53
22,30% PC + 50% GPP + 20% CC,Ternary,70,Group_5_3_PC_30,30,50,0,20,0,0,0,0,0,0,174.9
23,30% PC + 40% GPP + 30% CC,Ternary,70,Group_5_3_PC_30,30,40,0,30,0,0,0,0,0,0,176.09
24,30% PC + 50% GPP + 20% FA,Ternary,70,Group_5_3_PC_30,30,50,0,0,20,0,0,0,0,0,192.39
25,30% PC + 40% GPP + 30% FA,Ternary,70,Group_5_3_PC_30,30,40,0,0,30,0,0,0,0,0,198.8
26,50% PC + 40% GPP + 10% VA,Ternary,50,Group_7_3_PC_50,50,40,0,0,0,10,0,0,0,0,214.68
27,40% PC + 40% GPP + 20% VA,Ternary,60,Group_6_3_PC_40,40,40,0,0,0,20,0,0,0,0,186.85
28,30% PC + 10% GPP + 60% VA,Ternary,70,Group_5_3_PC_30,30,10,0,0,0,60,0,0,0,0,154.31
29,30% PC + 20% GPP + 50% VA,Ternary,70,Group_5_3_PC_30,30,20,0,0,0,50,0,0,0,0,154.12
30,30% PC + 30% GPP + 40% VA,Ternary,70,Group_5_3_PC_30,30,30,0,0,0,40,0,0,0,0,143.78
31,30% PC + 50% GPP + 20% VA,Ternary,70,Group_5_3_PC_30,30,50,0,0,0,20,0,0,0,0,157.67
32,50% PC + 40% GPP + 10% GBA,Ternary,50,Group_7_3_PC_50,50,40,0,0,0,0,10,0,0,0,229.1
33,40% PC + 40% GPP + 20% GBA,Ternary,60,Group_6_3_PC_40,40,40,0,0,0,0,20,0,0,0,196.69
34,30% PC + 10% GPP + 60% GBA,Ternary,70,Group_5_3_PC_30,30,10,0,0,0,0,60,0,0,0,164.78
35,30% PC + 20% GPP + 50% GBA,Ternary,70,Group_5_3_PC_30,30,20,0,0,0,0,50,0,0,0,162.18
36,30% PC + 30% GPP + 40% GBA,Ternary,70,Group_5_3_PC_30,30,30,0,0,0,0,40,0,0,0,153.84
37,30% PC + 50% GPP + 20% GBA,Ternary,70,Group_5_3_PC_30,30,50,0,0,0,0,20,0,0,0,160.08
38,50% PC + 40% GPP + 10% FBC,Ternary,50,Group_7_3_PC_50,50,40,0,0,0,0,0,10,0,0,230.78
39,40% PC + 40% GPP + 20% FBC,Ternary,60,Group_6_3_PC_40,40,40,0,0,0,0,0,20,0,0,198.62
40,30% PC + 10% GPP + 60% FBC,Ternary,70,Group_5_3_PC_30,30,10,0,0,0,0,0,60,0,0,173.4
41,30% PC + 20% GPP + 50% FBC,Ternary,70,Group_5_3_PC_30,30,20,0,0,0,0,0,50,0,0,170.58
